,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
218,250210_ARMC5mAC_PhosphoPolII,N05,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3249,278.0358561044925,0.7602678708817106
220,250210_ARMC5mAC_PhosphoPolII,N07,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3094,277.91491901321336,0.7599371776172316
222,250210_ARMC5mAC_PhosphoPolII,N09,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2815,280.6870979828424,0.7675174898563508
224,250210_ARMC5mAC_PhosphoPolII,N11,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3059,281.96435431655885,0.7710100500139151
10,250505_ARMC5mAC_PhosphoPolII,C13,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4004,101.00896483702891,0.7795468174778222
11,250505_ARMC5mAC_PhosphoPolII,C14,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4085,120.31112297909598,0.9285131589741361
12,250505_ARMC5mAC_PhosphoPolII,C15,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4361,114.57103268985131,0.8842134364273739
13,250505_ARMC5mAC_PhosphoPolII,C16,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3989,120.75988558066038,0.9319765293632597
14,250505_ARMC5mAC_PhosphoPolII,C17,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4754,113.61384300584018,0.876826229033482
15,250505_ARMC5mAC_PhosphoPolII,C18,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3813,118.05795011703358,0.9111240714146105
